Bytes,TransferTime,Bandwidth
16,4.32823e-07,1.84833e+07
32,4.77256e-07,3.3525e+07
64,4.82262e-07,6.6354e+07
128,1.24245e-06,5.15111e+07
256,8.71848e-07,1.46815e+08
512,9.70135e-07,2.63881e+08
1024,1.12703e-06,4.54291e+08
2048,1.52143e-06,6.73052e+08
4096,2.21128e-06,9.2616e+08
8192,2.86652e-06,1.42891e+09
16384,6.09007e-06,1.34514e+09
32768,8.4578e-06,1.93715e+09
65536,1.26286e-05,2.59474e+09
131072,1.26194e-05,5.19327e+09
262144,2.18129e-05,6.00893e+09
524288,4.02517e-05,6.51262e+09
1048576,7.65298e-05,6.85076e+09
2097152,0.000153437,6.83393e+09
4194304,0.000303724,6.9048e+09
8388608,0.00061012,6.87455e+09
16777216,0.00124922,6.71508e+09
33554432,0.00248862,6.74158e+09
67108864,0.00503617,6.66269e+09
134217728,0.0100766,6.65985e+09
268435456,0.0200494,6.69435e+09
