Bytes,TransferTime,Bandwidth
16,2.47867e-07,3.22754e+07
32,1.35231e-06,1.18316e+07
64,1.90558e-07,1.67928e+08
128,5.84302e-07,1.09532e+08
256,6.14212e-07,2.08397e+08
512,5.12819e-07,4.99202e+08
1024,5.34458e-07,9.5798e+08
2048,1.12553e-06,9.09796e+08
4096,2.32004e-06,8.82745e+08
8192,1.48075e-06,2.76616e+09
16384,3.14279e-06,2.6066e+09
32768,3.15261e-06,5.19696e+09
65536,4.22404e-06,7.75751e+09
131072,8.2474e-06,7.94626e+09
262144,1.7472e-05,7.50184e+09
524288,2.94115e-05,8.91297e+09
1048576,4.78778e-05,1.09505e+10
2097152,9.31335e-05,1.12589e+10
4194304,0.000187274,1.11983e+10
8388608,0.000371178,1.13e+10
16777216,0.000733524,1.1436e+10
33554432,0.00149777,1.12015e+10
67108864,0.00315257,1.06435e+10
134217728,0.00698146,9.61245e+09
268435456,0.0139863,9.59636e+09
