Bytes,TransferTime,Bandwidth
16,2.92454e-07,2.73547e+07
32,3.24515e-07,4.93044e+07
64,3.30629e-07,9.67853e+07
128,7.60038e-07,8.42063e+07
256,5.60717e-07,2.28279e+08
512,5.63669e-07,4.54167e+08
1024,7.03987e-07,7.27286e+08
2048,9.7625e-07,1.04891e+09
4096,1.34245e-06,1.52557e+09
8192,1.65273e-06,2.47832e+09
16384,3.4827e-06,2.3522e+09
32768,3.87404e-06,4.22918e+09
65536,5.08584e-06,6.44299e+09
131072,7.35259e-06,8.91333e+09
262144,1.2209e-05,1.07357e+10
524288,2.16677e-05,1.20984e+10
1048576,4.96983e-05,1.05494e+10
2097152,0.000159623,6.56907e+09
4194304,0.000332366,6.30977e+09
8388608,0.000631466,6.64217e+09
16777216,0.00128354,6.53553e+09
33554432,0.00256693,6.53591e+09
67108864,0.00514408,6.52292e+09
134217728,0.0097737,6.86627e+09
268435456,0.018563,7.23037e+09
