Bytes,TransferTime,Bandwidth
16,7.31423e-07,1.09376e+07
32,6.75805e-07,2.36755e+07
64,7.65156e-07,4.18215e+07
128,6.78785e-07,9.42861e+07
256,5.84088e-07,2.19145e+08
512,4.24776e-07,6.0267e+08
1024,4.66965e-07,1.09644e+09
2048,5.29829e-07,1.9327e+09
4096,7.97585e-07,2.56775e+09
8192,1.03375e-06,3.96228e+09
16384,1.5104e-06,5.42373e+09
32768,2.69087e-06,6.08874e+09
65536,5.01502e-06,6.53397e+09
131072,8.69738e-06,7.53514e+09
262144,1.66216e-05,7.88564e+09
524288,3.85585e-05,6.79861e+09
1048576,0.000119924,4.37182e+09
2097152,0.000264543,3.96372e+09
4194304,0.000544166,3.85388e+09
8388608,0.00125066,3.35368e+09
16777216,0.00310049,2.70557e+09
33554432,0.00555302,3.02128e+09
67108864,0.0121198,2.76856e+09
134217728,0.0221975,3.02326e+09
268435456,0.047547,2.82284e+09
